"workerid","rt","trial_type","trial_num","name","response","gender","endpoint_high","negation","endpoint_low","sentence_type","adjective","referent","positive","superlative_endpoints","slider_position","antonym"
0,18003,"four_sliders",1,"Lee",0.52,"male","most interesting","morphological","most uninteresting","neg_positive","not interesting","person","interesting",0,1,"uninteresting"
0,18003,"four_sliders",1,"Mia",0.51,"female","most interesting","morphological","most uninteresting","positive","interesting","person","interesting",0,2,"uninteresting"
0,18003,"four_sliders",1,"Veronica",0.49,"female","most interesting","morphological","most uninteresting","antonym","uninteresting","person","interesting",0,3,"uninteresting"
0,18003,"four_sliders",1,"Gabriel",0.5,"male","most interesting","morphological","most uninteresting","neg_antonym","not uninteresting","person","interesting",0,4,"uninteresting"
0,11366,"four_sliders",2,"Dylan",0.48,"male","most intelligent","morphological","most unintelligent","positive","intelligent","person","intelligent",0,1,"unintelligent"
0,11366,"four_sliders",2,"Jeremy",0.83,"male","most intelligent","morphological","most unintelligent","antonym","unintelligent","person","intelligent",0,2,"unintelligent"
0,11366,"four_sliders",2,"Alicia",0.41,"female","most intelligent","morphological","most unintelligent","neg_positive","not intelligent","person","intelligent",0,3,"unintelligent"
0,11366,"four_sliders",2,"Maya",0.46,"female","most intelligent","morphological","most unintelligent","neg_antonym","not unintelligent","person","intelligent",0,4,"unintelligent"
0,14811,"four_sliders",3,"Angela",0.45,"female","most attractive","morphological","most unattractive","neg_antonym","not unattractive","person","attractive",0,1,"unattractive"
0,14811,"four_sliders",3,"Kathleen",0.4,"female","most attractive","morphological","most unattractive","antonym","unattractive","person","attractive",0,2,"unattractive"
0,14811,"four_sliders",3,"Kim",0.41,"female","most attractive","morphological","most unattractive","neg_positive","not attractive","person","attractive",0,3,"unattractive"
0,14811,"four_sliders",3,"Jennifer",0.59,"female","most attractive","morphological","most unattractive","positive","attractive","person","attractive",0,4,"unattractive"
0,9804,"four_sliders",4,"Melinda",0.46,"female","most friendly","morphological","most unfriendly","neg_positive","not friendly","person","friendly",0,1,"unfriendly"
