workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education,condition
0,english,1,Male,25,no,,Yes,40,3,implicit
1,English,2,Female,66,no,,Yes,0.35,2,implicit
2,English,1,Female,45,no,,No,.40,3,implicit
3,English,1,Male,33,No,No issues,Yes,0.40,3,implicit
4,English,1,Male,35,Nope,Fun Task,Yes,1.00,2,implicit
5,english,1,Other,32,No,It was ok.,Yes,0.40,3,implicit
6,English,1,Male,24,no,,Yes,.40,3,implicit
7,English,1,Male,46,No problems.,No comment.,Yes,no,3,implicit
8,english,2,Female,44,no,,No,.40,2,implicit
9,English,1,Male,42,,,Yes,.50,3,implicit
10,English,2,Female,44,None,N/A,Yes,.40,4,implicit
11,English,1,Male,28,None,,Yes,0.40,3,implicit
12,English,1,Male,21,no,,Yes,yes,2,implicit
13,English,2,Male,62,no,,Yes,40 cents,2,implicit
14,English,1,Female,28,,,Yes,.45,2,implicit
15,english,2,Female,31,no.,,Yes,.4,2,implicit
16,English,2,Female,34,"
no",,Yes,0.40,2,implicit
17,english,1,Male,38,,,Yes,.50,2,implicit
18,English,2,Male,40,,,Yes,.50,3,implicit
19,English ,1,Female,40,None,,Yes,Yes,2,implicit
20,English,2,Female,66,none,"It was clear, easy, and required a little bit of thought before choosing. I think it was well done. ",Yes,35,2,implicit
21,english,2,Male,39,,,Yes,1,4,implicit
22,English,1,Female,32,No,,Yes,0.40,2,implicit
23,english,2,Male,61,no,,Yes,.45,3,implicit
24,English,2,Female,47,"No, everything was fine.","Language really does contribute to perception. Like saying ""John isn&quotechart unreliable"" sounds more like a defense, like he *could* be slightly unreliable, whereas saying ""John isn&quotechart unreliable at all"" or ""John isn&quotechart a bit unreliable"" makes it seems like he&quotechars really reliable.",Yes,.40,3,implicit
25,English,2,Female,36,No,"Thank You!  Good Hit, fair price. ",Yes,Yes,4,implicit
26,English,0,Male,43,No,"I was asked to rate a person based on on statement.   For example, Joe is unkind.  I need to rate Joe from best to worst.  How can you do that with one statement/sentence.  ",Yes,.40,2,implicit
27,English,2,Male,31,,Next time go for triple negative! ,Yes,$0.4,4,implicit
28,English,1,Male,30,,,No,0.50,2,implicit
29,english,2,Female,62,none,,Yes,0.40,2,implicit
30,English,2,Male,27,,,Yes,.60,2,implicit
31,English,2,Female,33,None,,Yes,0.40,3,implicit
32,N/A,1,Male,71,,,Yes,$0.10,4,implicit
33,english,1,Male,29,no,,Yes,.50,1,implicit
34,English,2,Male,30,,,Yes,0.40,4,implicit
35,English,2,Male,24,no,Fair pay. Thanks.,Yes,.40,3,implicit
36,English,1,Male,23,No,,Confused,.40,3,implicit
37,English,1,Female,34,no,,Yes,0.40,3,implicit
38,english,1,Female,39,no,fun,Yes,yes,3,implicit
39,English,2,Female,54,No problems,Great survey,Yes,.40,3,implicit
40,English,1,Other,20,,,Yes,0.40,2,implicit
41,English,1,Male,50,no,,Yes,0.40,4,implicit
42,English,1,Female,52,No. ,Thank you for this opportunity to participate in your study. Good luck with your research.,Yes,.40,2,implicit
43,english,2,Female,56,no,,Yes,.40,3,implicit
44,english,1,Male,34,no,,Yes,.50,3,implicit
45,English,2,Male,27,None at all,NA,Yes,,2,implicit
46,english,1,Female,55,,NA,Yes,yes,3,implicit
47,English,2,Male,20,,NA,Yes,0.50,2,implicit
