"workerid","rt","trial_type","trial_num","name","positive","negation","sentence_type","adjective","referent","gender","response","antonym"
0,11018,"one_slider",1,"Monica","brave","lexical","neither_pos_nor_ant","neither brave nor cowardly","person","female",0.51,"cowardly"
0,5778,"one_slider",2,"Jennifer","honest","morphological","neither_pos_nor_ant","neither honest nor dishonest","person","female",0.41,"dishonest"
0,3923,"one_slider",3,"Lee","brave","lexical","positive","brave","person","male",0.7,"cowardly"
0,4775,"one_slider",4,"Lucas","moral","morphological","neg_positive","not moral","person","male",0.14,"immoral"
0,4197,"one_slider",5,"Claire","moral","morphological","antonym","immoral","person","female",0.17,"immoral"
0,3307,"one_slider",6,"Daniel","moral","morphological","positive","moral","person","male",0.87,"immoral"
0,3777,"one_slider",7,"Sophia","fat","lexical","neither_pos_nor_ant","neither fat nor skinny","person","female",0.5,"skinny"
0,4817,"one_slider",8,"Maya","honest","morphological","neg_antonym","not dishonest","person","female",0.62,"dishonest"
0,4407,"one_slider",9,"Melinda","fat","lexical","antonym","skinny","person","female",0.07,"skinny"
0,6090,"one_slider",10,"Alicia","hard-working","lexical","antonym","lazy","person","female",0.05,"lazy"
0,3506,"one_slider",11,"Angela","rich","lexical","neg_antonym","not poor","person","female",0.6,"poor"
0,4629,"one_slider",12,"Cameron","moral","morphological","neg_antonym","not immoral","person","male",0.72,"immoral"
0,5140,"one_slider",13,"John","brave","lexical","neg_positive","not brave","person","male",0.03,"cowardly"
0,4333,"one_slider",14,"Gabriel","successful","morphological","antonym","unsuccessful","person","male",0.11,"unsuccessful"
0,3956,"one_slider",15,"Stephanie","tall","lexical","neg_antonym","not short","person","female",0.9,"short"
0,5085,"one_slider",16,"Michael","educated","morphological","antonym","uneducated","person","male",0.11,"uneducated"
0,4075,"one_slider",17,"Alexander","rich","lexical","neg_positive","not rich","person","male",0.28,"poor"
0,3478,"one_slider",18,"Eric","old","lexical","neg_positive","not old","person","male",0.3,"young"
0,2706,"one_slider",19,"Julia","rich","lexical","positive","rich","person","female",0.9,"poor"
0,3387,"one_slider",20,"David","hard-working","lexical","positive","hard-working","person","male",0.89,"lazy"
0,4133,"one_slider",21,"Veronica","tolerant","morphological","neither_pos_nor_ant","neither tolerant nor intolerant","person","female",0.49,"intolerant"
0,4363,"one_slider",22,"Greg","brave","lexical","neg_antonym","not cowardly","person","male",0.66,"cowardly"
0,3429,"one_slider",23,"Kim","educated","morphological","neg_antonym","not uneducated","person","female",0.8,"uneducated"
0,3107,"one_slider",24,"Tom","fat","lexical","neg_positive","not fat","person","male",0.26,"skinny"
0,3213,"one_slider",25,"Laura","honest","morphological","neg_positive","not honest","person","female",0.16,"dishonest"
0,4011,"one_slider",26,"William","successful","morphological","positive","successful","person","male",0.9,"unsuccessful"
0,3311,"one_slider",27,"Anthony","educated","morphological","neither_pos_nor_ant","neither educated nor uneducated","person","male",0.5,"uneducated"
0,3081,"one_slider",28,"Kathleen","friendly","morphological","neg_positive","not friendly","person","female",0.22,"unfriendly"
0,2931,"one_slider",29,"Stephen","fat","lexical","positive","fat","person","male",0.86,"skinny"
0,3331,"one_slider",30,"Michelle","old","lexical","neg_antonym","not young","person","female",0.76,"young"
1,11367,"one_slider",1,"Maya","educated","morphological","positive","educated","person","female",0.91,"uneducated"
1,12367,"one_slider",2,"Monica","honest","morphological","neither_pos_nor_ant","neither honest nor dishonest","person","female",0.51,"dishonest"
1,5408,"one_slider",3,"Tom","moral","morphological","neg_positive","not moral","person","male",0.04,"immoral"
1,4348,"one_slider",4,"Alexander","successful","morphological","positive","successful","person","male",0.76,"unsuccessful"
1,5917,"one_slider",5,"Stephen","hard-working","lexical","neither_pos_nor_ant","neither hard-working nor lazy","person","male",0.53,"lazy"
1,4916,"one_slider",6,"Lee","rich","lexical","antonym","poor","person","male",0.06,"poor"
1,3471,"one_slider",7,"Daniel","honest","morphological","positive","honest","person","male",0.91,"dishonest"
1,4174,"one_slider",8,"Claire","fat","lexical","positive","fat","person","female",0.82,"skinny"
1,7965,"one_slider",9,"Michael","old","lexical","neg_antonym","not young","person","male",0.78,"young"
1,4960,"one_slider",10,"Alicia","hard-working","lexical","positive","hard-working","person","female",0.94,"lazy"
1,4713,"one_slider",11,"William","old","lexical","antonym","young","person","male",0.12,"young"
1,10192,"one_slider",12,"Greg","tolerant","morphological","neg_antonym","not intolerant","person","male",0.87,"intolerant"
1,4109,"one_slider",13,"Angela","fat","lexical","neither_pos_nor_ant","neither fat nor skinny","person","female",0.5,"skinny"
1,4789,"one_slider",14,"Anthony","moral","morphological","antonym","immoral","person","male",0.08,"immoral"
1,4789,"one_slider",15,"David","honest","morphological","antonym","dishonest","person","male",0.08,"dishonest"
1,5105,"one_slider",16,"Melinda","tall","lexical","antonym","short","person","female",0.11,"short"
1,10589,"one_slider",17,"Kim","hard-working","lexical","neg_antonym","not lazy","person","female",0.71,"lazy"
1,3326,"one_slider",18,"Lucas","brave","lexical","positive","brave","person","male",0.86,"cowardly"
1,7315,"one_slider",19,"John","fat","lexical","neg_antonym","not skinny","person","male",0.51,"skinny"
1,6810,"one_slider",20,"Cameron","brave","lexical","neg_positive","not brave","person","male",0.21,"cowardly"
1,4236,"one_slider",21,"Michelle","tolerant","morphological","positive","tolerant","person","female",0.84,"intolerant"
1,3684,"one_slider",22,"Laura","rich","lexical","positive","rich","person","female",0.82,"poor"
1,4915,"one_slider",23,"Julia","honest","morphological","neg_positive","not honest","person","female",0.18,"dishonest"
1,4150,"one_slider",24,"Eric","fat","lexical","antonym","skinny","person","male",0.14,"skinny"
1,14040,"one_slider",25,"Gabriel","successful","morphological","neg_antonym","not unsuccessful","person","male",0.54,"unsuccessful"
1,3072,"one_slider",26,"Stephanie","rich","lexical","neither_pos_nor_ant","neither rich nor poor","person","female",0.48,"poor"
1,7336,"one_slider",27,"Jennifer","tall","lexical","neg_antonym","not short","person","female",0.46,"short"
1,5659,"one_slider",28,"Kathleen","moral","morphological","neither_pos_nor_ant","neither moral nor immoral","person","female",0.48,"immoral"
1,5261,"one_slider",29,"Veronica","successful","morphological","neither_pos_nor_ant","neither successful nor unsuccessful","person","female",0.5,"unsuccessful"
1,4749,"one_slider",30,"Sophia","tall","lexical","positive","tall","person","female",0.77,"short"
2,7822,"one_slider",1,"Gabriel","rich","lexical","neither_pos_nor_ant","neither rich nor poor","person","male",0.59,"poor"
2,6527,"one_slider",2,"Alicia","honest","morphological","antonym","dishonest","person","female",0.14,"dishonest"
2,4217,"one_slider",3,"David","hard-working","lexical","neg_positive","not hard-working","person","male",0.15,"lazy"
2,5240,"one_slider",4,"Veronica","old","lexical","antonym","young","person","female",0.3,"young"
2,7967,"one_slider",5,"Stephen","educated","morphological","neither_pos_nor_ant","neither educated nor uneducated","person","male",0.53,"uneducated"
2,4063,"one_slider",6,"Cameron","hard-working","lexical","neg_antonym","not lazy","person","male",0.89,"lazy"
2,4511,"one_slider",7,"William","rich","lexical","antonym","poor","person","male",0.18,"poor"
2,4351,"one_slider",8,"Julia","hard-working","lexical","neither_pos_nor_ant","neither hard-working nor lazy","person","female",0.53,"lazy"
2,3512,"one_slider",9,"Stephanie","moral","morphological","positive","moral","person","female",0.87,"immoral"
2,4527,"one_slider",10,"Greg","brave","lexical","neither_pos_nor_ant","neither brave nor cowardly","person","male",0.47,"cowardly"
2,4447,"one_slider",11,"Monica","tall","lexical","neg_antonym","not short","person","female",0.81,"short"
2,4175,"one_slider",12,"Laura","educated","morphological","neg_antonym","not uneducated","person","female",0.71,"uneducated"
2,5335,"one_slider",13,"Sophia","friendly","morphological","neither_pos_nor_ant","neither friendly nor unfriendly","person","female",0.52,"unfriendly"
2,4215,"one_slider",14,"Claire","old","lexical","positive","old","person","female",0.8,"young"
2,4759,"one_slider",15,"Michelle","tall","lexical","neither_pos_nor_ant","neither tall nor short","person","female",0.48,"short"
2,3656,"one_slider",16,"Anthony","moral","morphological","antonym","immoral","person","male",0.16,"immoral"
2,3511,"one_slider",17,"Alexander","tall","lexical","positive","tall","person","male",0.91,"short"
2,3103,"one_slider",18,"Melinda","rich","lexical","neg_positive","not rich","person","female",0.05,"poor"
2,4567,"one_slider",19,"Daniel","brave","lexical","antonym","cowardly","person","male",0.03,"cowardly"
2,4399,"one_slider",20,"Kim","fat","lexical","neg_antonym","not skinny","person","female",0.64,"skinny"
2,5231,"one_slider",21,"Lucas","friendly","morphological","neg_positive","not friendly","person","male",0.16,"unfriendly"
2,6479,"one_slider",22,"Angela","hard-working","lexical","positive","hard-working","person","female",0.92,"lazy"
2,7031,"one_slider",23,"Michael","fat","lexical","neg_positive","not fat","person","male",0.34,"skinny"
2,4047,"one_slider",24,"Eric","hard-working","lexical","antonym","lazy","person","male",0.12,"lazy"
2,5696,"one_slider",25,"Jennifer","friendly","morphological","antonym","unfriendly","person","female",0.15,"unfriendly"
2,4583,"one_slider",26,"John","moral","morphological","neg_antonym","not immoral","person","male",0.69,"immoral"
2,3759,"one_slider",27,"Tom","honest","morphological","neither_pos_nor_ant","neither honest nor dishonest","person","male",0.5,"dishonest"
2,3576,"one_slider",28,"Lee","moral","morphological","neither_pos_nor_ant","neither moral nor immoral","person","male",0.53,"immoral"
2,5520,"one_slider",29,"Maya","rich","lexical","neg_antonym","not poor","person","female",0.71,"poor"
2,3112,"one_slider",30,"Kathleen","rich","lexical","positive","rich","person","female",0.88,"poor"
3,7781,"one_slider",1,"Laura","tolerant","morphological","neg_antonym","not intolerant","person","female",0.89,"intolerant"
3,3440,"one_slider",2,"Sophia","brave","lexical","neg_antonym","not cowardly","person","female",0.65,"cowardly"
3,39948,"one_slider",3,"Anthony","successful","morphological","neither_pos_nor_ant","neither successful nor unsuccessful","person","male",0.48,"unsuccessful"
3,4375,"one_slider",4,"Alicia","educated","morphological","antonym","uneducated","person","female",0,"uneducated"
3,5602,"one_slider",5,"Stephen","fat","lexical","neg_positive","not fat","person","male",0.31,"skinny"
3,8228,"one_slider",6,"Lucas","friendly","morphological","antonym","unfriendly","person","male",0,"unfriendly"
3,3213,"one_slider",7,"Kim","moral","morphological","neg_positive","not moral","person","female",0.22,"immoral"
3,5815,"one_slider",8,"Lee","hard-working","lexical","neg_antonym","not lazy","person","male",0.77,"lazy"
3,6567,"one_slider",9,"Stephanie","fat","lexical","antonym","skinny","person","female",0,"skinny"
3,6430,"one_slider",10,"Tom","tall","lexical","neg_positive","not tall","person","male",0.35,"short"
3,6545,"one_slider",11,"Michael","old","lexical","neg_antonym","not young","person","male",0.55,"young"
3,4047,"one_slider",12,"David","hard-working","lexical","antonym","lazy","person","male",0.05,"lazy"
3,16973,"one_slider",13,"Jennifer","fat","lexical","neither_pos_nor_ant","neither fat nor skinny","person","female",0.45,"skinny"
3,3719,"one_slider",14,"Monica","educated","morphological","positive","educated","person","female",1,"uneducated"
3,7343,"one_slider",15,"Cameron","hard-working","lexical","positive","hard-working","person","male",0.91,"lazy"
3,9051,"one_slider",16,"William","educated","morphological","neither_pos_nor_ant","neither educated nor uneducated","person","male",0.48,"uneducated"
3,2579,"one_slider",17,"Alexander","friendly","morphological","positive","friendly","person","male",0.95,"unfriendly"
3,94291,"one_slider",18,"Melinda","rich","lexical","neither_pos_nor_ant","neither rich nor poor","person","female",0.5,"poor"
3,2812,"one_slider",19,"Greg","honest","morphological","positive","honest","person","male",0.95,"dishonest"
3,4122,"one_slider",20,"Eric","successful","morphological","neg_antonym","not unsuccessful","person","male",0.55,"unsuccessful"
3,8207,"one_slider",21,"Kathleen","brave","lexical","neither_pos_nor_ant","neither brave nor cowardly","person","female",0.5,"cowardly"
3,7438,"one_slider",22,"Gabriel","tolerant","morphological","neither_pos_nor_ant","neither tolerant nor intolerant","person","male",0.49,"intolerant"
3,2855,"one_slider",23,"John","brave","lexical","positive","brave","person","male",0.87,"cowardly"
3,4231,"one_slider",24,"Angela","brave","lexical","neg_positive","not brave","person","female",0.2,"cowardly"
3,4552,"one_slider",25,"Claire","friendly","morphological","neither_pos_nor_ant","neither friendly nor unfriendly","person","female",0.48,"unfriendly"
3,3258,"one_slider",26,"Daniel","rich","lexical","positive","rich","person","male",0.98,"poor"
3,4114,"one_slider",27,"Maya","successful","morphological","neg_positive","not successful","person","female",0.11,"unsuccessful"
3,2824,"one_slider",28,"Veronica","educated","morphological","neg_positive","not educated","person","female",0.13,"uneducated"
3,4528,"one_slider",29,"Michelle","friendly","morphological","neg_antonym","not unfriendly","person","female",0.76,"unfriendly"
3,3791,"one_slider",30,"Julia","brave","lexical","antonym","cowardly","person","female",0,"cowardly"
4,7338,"one_slider",1,"Eric","tolerant","morphological","neither_pos_nor_ant","neither tolerant nor intolerant","person","male",0.43,"intolerant"
4,3806,"one_slider",2,"Tom","old","lexical","positive","old","person","male",0.84,"young"
4,5055,"one_slider",3,"Claire","honest","morphological","neither_pos_nor_ant","neither honest nor dishonest","person","female",0.41,"dishonest"
4,6111,"one_slider",4,"Michael","moral","morphological","antonym","immoral","person","male",0.12,"immoral"
4,4759,"one_slider",5,"Cameron","brave","lexical","antonym","cowardly","person","male",0.15,"cowardly"
4,4815,"one_slider",6,"Lee","old","lexical","neg_positive","not old","person","male",0.51,"young"
4,4046,"one_slider",7,"Lucas","fat","lexical","positive","fat","person","male",0.74,"skinny"
4,8295,"one_slider",8,"Angela","successful","morphological","neither_pos_nor_ant","neither successful nor unsuccessful","person","female",0.4,"unsuccessful"
4,7712,"one_slider",9,"Laura","tall","lexical","neg_antonym","not short","person","female",0.63,"short"
4,4103,"one_slider",10,"Julia","tall","lexical","positive","tall","person","female",0.8,"short"
4,3039,"one_slider",11,"Greg","tall","lexical","antonym","short","person","male",0.17,"short"
4,4576,"one_slider",12,"Veronica","old","lexical","antonym","young","person","female",0.08,"young"
4,3847,"one_slider",13,"Michelle","rich","lexical","antonym","poor","person","female",0.11,"poor"
4,5078,"one_slider",14,"David","moral","morphological","neg_antonym","not immoral","person","male",0.47,"immoral"
4,5471,"one_slider",15,"Melinda","fat","lexical","neg_positive","not fat","person","female",0.47,"skinny"
4,4063,"one_slider",16,"Kathleen","old","lexical","neither_pos_nor_ant","neither old nor young","person","female",0.49,"young"
4,4887,"one_slider",17,"William","rich","lexical","neg_positive","not rich","person","male",0.38,"poor"
4,4568,"one_slider",18,"Alexander","successful","morphological","neg_positive","not successful","person","male",0.36,"unsuccessful"
4,2399,"one_slider",19,"Anthony","fat","lexical","neither_pos_nor_ant","neither fat nor skinny","person","male",0.48,"skinny"
4,2047,"one_slider",20,"Maya","brave","lexical","neither_pos_nor_ant","neither brave nor cowardly","person","female",0.51,"cowardly"
4,3287,"one_slider",21,"Stephen","fat","lexical","antonym","skinny","person","male",0.18,"skinny"
4,3959,"one_slider",22,"Jennifer","hard-working","lexical","neg_positive","not hard-working","person","female",0.34,"lazy"
4,3576,"one_slider",23,"Stephanie","hard-working","lexical","neither_pos_nor_ant","neither hard-working nor lazy","person","female",0.54,"lazy"
4,2335,"one_slider",24,"John","educated","morphological","neither_pos_nor_ant","neither educated nor uneducated","person","male",0.48,"uneducated"
4,2374,"one_slider",25,"Daniel","friendly","morphological","neither_pos_nor_ant","neither friendly nor unfriendly","person","male",0.49,"unfriendly"
4,5287,"one_slider",26,"Kim","tolerant","morphological","neg_positive","not tolerant","person","female",0.21,"intolerant"
