"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"english",1,"Male","25","no","","Yes","40",3
1,"English",2,"Female","66","no","","Yes","0.35",2
2,"English",1,"Female","45","no","","No",".40",3
3,"English",1,"Male","33","No","No issues","Yes","0.40",3
4,"English",1,"Male","35","Nope","Fun Task","Yes","1.00",2
5,"english",1,"Other","32","No","It was ok.","Yes","0.40",3
6,"English",1,"Male","24","no","","Yes",".40",3
7,"English",1,"Male","46","No problems.","No comment.","Yes","no",3
8,"english",2,"Female","44","no","","No",".40",2
9,"English",1,"Male","42","","","Yes",".50",3
10,"English",2,"Female","44","None","N/A","Yes",".40",4
11,"English",1,"Male","28","None","","Yes","0.40",3
12,"English",1,"Male","21","no","","Yes","yes",2
13,"English",2,"Male","62","no","","Yes","40 cents",2
14,"English",1,"Female","28","","","Yes",".45",2
15,"english",2,"Female","31","no.","","Yes",".4",2
16,"English",2,"Female","34","
no","","Yes","0.40",2
17,"english",1,"Male","38","","","Yes",".50",2
18,"English",2,"Male","40","","","Yes",".50",3
19,"English ",1,"Female","40","None","","Yes","Yes",2
20,"English",2,"Female","66","none","It was clear, easy, and required a little bit of thought before choosing. I think it was well done. ","Yes","35",2
21,"english",2,"Male","39","","","Yes","1",4
22,"English",1,"Female","32","No","","Yes","0.40",2
23,"english",2,"Male","61","no","","Yes",".45",3
24,"English",2,"Female","47","No, everything was fine.","Language really does contribute to perception. Like saying ""John isn&quotechart unreliable"" sounds more like a defense, like he *could* be slightly unreliable, whereas saying ""John isn&quotechart unreliable at all"" or ""John isn&quotechart a bit unreliable"" makes it seems like he&quotechars really reliable.","Yes",".40",3
25,"English",2,"Female","36","No","Thank You!  Good Hit, fair price. ","Yes","Yes",4
26,"English",0,"Male","43","No","I was asked to rate a person based on on statement.   For example, Joe is unkind.  I need to rate Joe from best to worst.  How can you do that with one statement/sentence.  ","Yes",".40",2
27,"English",2,"Male","31","","Next time go for triple negative! ","Yes","$0.4",4
28,"English",1,"Male","30","","","No","0.50",2
