"workerid","rt","trial_type","trial_num","name","response","gender","endpoint_high","negation","endpoint_low","sentence_type","adjective","referent","positive","superlative_endpoints","slider_position","antonym"
0,12774,"four_sliders",1,"Alexander",0.33,"male","most undefined","morphological","most undefined","neg_positive","not polite","person","polite",0,1,"impolite"
0,12774,"four_sliders",1,"Michael",0.54,"male","most undefined","morphological","most undefined","neg_antonym","not impolite","person","polite",0,2,"impolite"
0,12774,"four_sliders",1,"Kathleen",0,"female","most undefined","morphological","most undefined","antonym","impolite","person","polite",0,3,"impolite"
0,12774,"four_sliders",1,"Jeremy",1,"male","most undefined","morphological","most undefined","positive","polite","person","polite",0,4,"impolite"
0,8024,"four_sliders",2,"Daniel",0.48,"male","most undefined","morphological","most undefined","neg_antonym","not unintelligent","person","intelligent",0,1,"unintelligent"
0,8024,"four_sliders",2,"Michelle",0,"female","most undefined","morphological","most undefined","antonym","unintelligent","person","intelligent",0,2,"unintelligent"
0,8024,"four_sliders",2,"Cameron",0.49,"male","most undefined","morphological","most undefined","neg_positive","not intelligent","person","intelligent",0,3,"unintelligent"
0,8024,"four_sliders",2,"Julia",1,"female","most undefined","morphological","most undefined","positive","intelligent","person","intelligent",0,4,"unintelligent"
0,4839,"four_sliders",3,"Tom",0.47,"male","most undefined","morphological","most undefined","neg_positive","not mature","person","mature",0,1,"immature"
0,4839,"four_sliders",3,"Alison",0,"female","most undefined","morphological","most undefined","antonym","immature","person","mature",0,2,"immature"
0,4839,"four_sliders",3,"Greg",0.37,"male","most undefined","morphological","most undefined","neg_antonym","not immature","person","mature",0,3,"immature"
0,4839,"four_sliders",3,"Stephanie",1,"female","most undefined","morphological","most undefined","positive","mature","person","mature",0,4,"immature"
0,8936,"four_sliders",4,"Andrew",0.41,"male","most undefined","morphological","most undefined","neg_antonym","not unfriendly","person","friendly",0,1,"unfriendly"
0,8936,"four_sliders",4,"Sasha",0,"female","most undefined","morphological","most undefined","antonym","unfriendly","person","friendly",0,2,"unfriendly"
0,8936,"four_sliders",4,"Gabriel",1,"male","most undefined","morphological","most undefined","positive","friendly","person","friendly",0,3,"unfriendly"
0,8936,"four_sliders",4,"John",0.21,"male","most undefined","morphological","most undefined","neg_positive","not friendly","person","friendly",0,4,"unfriendly"
0,6927,"four_sliders",5,"Lee",0,"male","most undefined","morphological","most undefined","antonym","unhappy","person","happy",0,1,"unhappy"
0,6927,"four_sliders",5,"Dylan",0.47,"male","most undefined","morphological","most undefined","neg_antonym","not unhappy","person","happy",0,2,"unhappy"
0,6927,"four_sliders",5,"Kim",1,"female","most undefined","morphological","most undefined","positive","happy","person","happy",0,3,"unhappy"
0,6927,"four_sliders",5,"Samuel",0.23,"male","most undefined","morphological","most undefined","neg_positive","not happy","person","happy",0,4,"unhappy"
0,8759,"four_sliders",6,"Claire",0.38,"female","most undefined","morphological","most undefined","neg_antonym","not unsuccessful","person","successful",0,1,"unsuccessful"
0,8759,"four_sliders",6,"Veronica",0,"female","most undefined","morphological","most undefined","antonym","unsuccessful","person","successful",0,2,"unsuccessful"
0,8759,"four_sliders",6,"David",0.14,"male","most undefined","morphological","most undefined","neg_positive","not successful","person","successful",0,3,"unsuccessful"
0,8759,"four_sliders",6,"Stephen",1,"male","most undefined","morphological","most undefined","positive","successful","person","successful",0,4,"unsuccessful"
0,6240,"four_sliders",7,"Anthony",0.32,"male","most undefined","morphological","most undefined","neg_antonym","not dishonest","person","honest",0,1,"dishonest"
0,6240,"four_sliders",7,"Lucas",1,"male","most undefined","morphological","most undefined","positive","honest","person","honest",0,2,"dishonest"
0,6240,"four_sliders",7,"William",0,"male","most undefined","morphological","most undefined","antonym","dishonest","person","honest",0,3,"dishonest"
