"workerid","rt","trial_type","trial_num","name","positive","sentence_type","adjective","referent","gender","noun","response","antonym"
0,9718,"one_slider",1,"Angela","intelligent","neg_positive","not intelligent","person","female","level of intelligence",0.28,"unintelligent"
0,5593,"one_slider",2,"Gabriel","happy","neg_positive","not happy","person","male","level of happiness",0.25,"unhappy"
0,3275,"one_slider",3,"Daniel","attractive","positive","attractive","person","male","level of attractiveness",0.67,"unattractive"
0,2734,"one_slider",4,"Sophia","happy","antonym","unhappy","person","female","level of happiness",0.27,"unhappy"
0,6064,"one_slider",5,"Jennifer","forgiving","neg_antonym","not unforgiving","person","female","level of forgivingness",0.21,"unforgiving"
0,2907,"one_slider",6,"Stephen","attractive","antonym","unattractive","person","male","level of attractiveness",0.24,"unattractive"
0,2351,"one_slider",7,"Monica","happy","neg_antonym","not unhappy","person","female","level of happiness",0.22,"unhappy"
0,3645,"one_slider",8,"Michael","attractive","neg_positive","not attractive","person","male","level of attractiveness",0.17,"unattractive"
0,3496,"one_slider",9,"Kim","polite","neg_antonym","not impolite","person","female","level of politeness",0.17,"impolite"
0,3546,"one_slider",10,"John","forgiving","positive","forgiving","person","male","level of forgivingness",0.77,"unforgiving"
0,6328,"one_slider",11,"Lucas","interesting","neither_pos_nor_ant","neither interesting nor uninteresting","person","male","level of interestingness",0.48,"uninteresting"
0,3226,"one_slider",12,"Veronica","polite","neither_pos_nor_ant","neither polite nor impolite","person","female","level of politeness",0.49,"impolite"
0,2781,"one_slider",13,"Greg","interesting","positive","interesting","person","male","level of interestingness",0.76,"uninteresting"
0,2838,"one_slider",14,"Melinda","polite","antonym","impolite","person","female","level of politeness",0.16,"impolite"
0,4888,"one_slider",15,"Anthony","forgiving","antonym","unforgiving","person","male","level of forgivingness",0.17,"unforgiving"
0,4642,"one_slider",16,"Eric","forgiving","neither_pos_nor_ant","neither forgiving nor unforgiving","person","male","level of forgivingness",0.5,"unforgiving"
0,13514,"one_slider",17,"Lee","intelligent","positive","intelligent","person","male","level of intelligence",0.8,"unintelligent"
0,4694,"one_slider",18,"Alexander","attractive","neg_antonym","not unattractive","person","male","level of attractiveness",0.23,"unattractive"
0,4677,"one_slider",19,"Claire","intelligent","neg_antonym","not unintelligent","person","female","level of intelligence",0.79,"unintelligent"
0,5361,"one_slider",20,"Alicia","forgiving","neg_positive","not forgiving","person","female","level of forgivingness",0.15,"unforgiving"
0,3708,"one_slider",21,"Julia","happy","positive","happy","person","female","level of happiness",0.83,"unhappy"
0,3006,"one_slider",22,"Kathleen","intelligent","antonym","unintelligent","person","female","level of intelligence",0.24,"unintelligent"
0,19362,"one_slider",23,"Tom","interesting","neg_antonym","not uninteresting","person","male","level of interestingness",0.78,"uninteresting"
0,2929,"one_slider",24,"William","interesting","antonym","uninteresting","person","male","level of interestingness",0.16,"uninteresting"
0,2738,"one_slider",25,"Maya","intelligent","neither_pos_nor_ant","neither intelligent nor unintelligent","person","female","level of intelligence",0.51,"unintelligent"
0,2461,"one_slider",26,"Laura","happy","neither_pos_nor_ant","neither happy nor unhappy","person","female","level of happiness",0.52,"unhappy"
0,3160,"one_slider",27,"David","attractive","neither_pos_nor_ant","neither attractive nor unattractive","person","male","level of attractiveness",0.53,"unattractive"
0,3788,"one_slider",28,"Cameron","polite","neg_positive","not polite","person","male","level of politeness",0.2,"impolite"
0,2897,"one_slider",29,"Stephanie","polite","positive","polite","person","female","level of politeness",0.82,"impolite"
0,3587,"one_slider",30,"Michelle","interesting","neg_positive","not interesting","person","female","level of interestingness",0.17,"uninteresting"
